colors
long-sleeves.
.sheath.
"sheath,"
poppy
collar.
adjustable
tunic.
washed
drape
panel
"40.5"""
muiticolored
framboise
gathered
pin
skni
bodice.
pleat
lace/crepe
crepe/jacquard
jersey/satin
beryl
satin-jersey
fig
ruffles.
soft
high-low
ruching
sunset
snap
¾
bougainvillea
illusion
cashmere
block
lotus
zip.
gley
azul
loop
boucle
plisse
ottoman
tiers.
pointed
lace.
laminated
insets
lining.
chino
prined
suede
"navy,"
beaded
natural
"46"""
36”
over
faille.
blue/grey
perforated
shape
pattern
sweetheart.
brushed
"39"""
diamond
greay
heathe
hater
varying
shades
of
straight.
sandwash
cb
bouncle
cordovan
lined.
twist-front
.wrap.
knit.
ablack
open
burgandy
buttons
rhodium
eggplant
pencil
separate
v-.neckline.
balloon
pinstriped
underlay
50”
jersey.
beading
tulle.
clipped
surplice
amethyst
palid
paillet
.3/4
dragonfruit
raspberry
